ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2a, 0x20), 0x7ffc9f6e2e20) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2a, 0x20), 0x7ffc9f6e2ce0) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2a, 0x20), 0x7ffc9f6e2920) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2a, 0x20), 0x7ffc9f6e2930) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2a, 0x20) <unfinished ...>
<... ioctl resumed>, 0x7ffc9f6e2960) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x19, 0) <unfinished ...>
<... ioctl resumed>, 0x7ffc9f6e3a70) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2b, 0x30), 0x7ffc9f6e2d40) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x49, 0), 0x7ffc9f6e2a10) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x21, 0), 0x7ffc9f6e2580) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2b, 0x30), 0x7ffc9f6e2c30) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x49, 0), 0x7ffc9f6e2900) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x21, 0), 0x7ffc9f6e2470) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2b, 0x30), 0x7ffc9f6e2c30) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x49, 0), 0x7ffc9f6e2900) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x21, 0), 0x7ffc9f6e2470) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2b, 0x30), 0x7ffc9f6e2e20) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x49, 0), 0x7ffc9f6e2af0) = 0
ioctl(9, _IOC(_IOC_NONE, 0, 0x21, 0), 0x7ffc9f6e2660) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2b, 0x30), 0x7ffc9f6e36e0) = 0
ioctl(8, _IOC(_IOC_READ|_IOC_WRITE, 0x46, 0x2b, 0x30), 0x7ffc9f6e36d0) = 0
